description;address;area;bedrooms;suites;wc;parking_spots;value;condo_fee;df_tax;aptlink
Apartamento Reformado 2 quartos - 1° andar - Up Life Residence;-;[];[2];[1];[2];[1];690000;514;-;-
Apartamento 3 dormitórios para Venda em Brasília, ASA NORTE, 3 dormitórios, 1 suíte, 3 banheiros, 1;-;['95'];[3];[1];[3];[1];1250000;730;1800;-
Apartamento para venda com 97 metros quadrados com 3 quartos em Asa Norte - Brasília - DF;-;['110'];[3];[1];[4];[1];1090000;0;0;-
Apartamento para Venda em Brasília, Taguatinga Norte (Taguatinga), 3 dormitórios, 1 suíte, 1 banheir;-;['62'];[3];[1];[1];[1];305000;410;0;-
Apartamento para venda com 2 quartos;-;['33'];[2];[0];[1];[0];177000;-;-;-
ÓTIMO APARTAMENTO NO RESIDENCIAL LE VILLE;-;['88'];[2];[1];[2];[1];398000;400;500;-
Flex Gama 3 quartos 72,5m2 st nascente lazer vg cob. andar alto;-;[];[3];[1];[2];[1];439000;420;600;-
Apartamento para venda com 68 metros quadrados com 2 quartos em Taguatinga Centro - Brasília - DF;-;[];[3];[1];[2];[1];360000;0;0;-
EXCELENTE 04 QUARTOS - PENÍNSULA LAZER E URBANISMO - 159m2;-;['158'];[3];[2];[4];[2];1395000;800;2000;-
Oportunidade!!! Duplex no Top Life Beach;-;[];[2];[1];[3];[2];500000;0;0;-
Residencial APÊ - Lindo apartamento 2 quartos 1 suíte - armários planejados;-;['70'];[2];[1];[2];[1];560000;520;1000;-
Apartamento 2 quartos varanda Ceilândia Ed. Versato;-;['118'];[2];[1];[2];[1];300000;0;0;-
Ágio - Cobertura 2 Quartos em Águas Claras;-;['106'];[2];[1];[3];[2];230000;800;-;-
Apartamento para venda tem 62 metros quadrados com 3 quartos em Cruzeiro Novo - Brasília - DF;-;['62'];[3];[0];[1];[0];435000;360;900;-
Apartamento para venda tem 68 metros quadrados com 3 quartos;-;['68'];[3];[0];[1];[2];398000;550;0;-
Apartamento Planejado 2 Quartos com Suíte e Garagem Coberta! Próximo ao Metrô!;-;['85'];[2];[1];[2];[1];320000;520;600;-
BRASÍLIA - Apartamento Padrão - ASA SUL;-;['87'];[2];[1];[2];[0];1080000;400;-;-
Apartamento - 02 quartos - Segunda Avenida / Núcleo Bandeirante;-;['60'];[2];[0];[2];[0];160000;150;0;-
APARTAMENTOS COM 2 QUARTOS - ACEITO CARRO - COLÔNIA AGRÍCOLA SAMAMBAIA;-;['70'];[2];[0];[1];[1];220000;300;600;-
Vista definitiva para o Parque Burle Marx - 2 quartos 1 suíte 02 vagas - Setor Noroeste;-;[];[2];[1];[3];[2];1241620;-;-;-
Novo, PRONTO PARA MORAR prático e moderno apartamento 1 Quarto Life 703 Asa Norte;-;[];[1];[1];[1];[1];594298;0;0;-
Lindo apartamento de 1 quarto, venda de porteira fechada. Na melhor localização de Águas Claras;-;['50'];[1];[1];[1];[1];350000;390;500;-
VENDA - AOS 6 - 4 QUARTOS - 125M²;-;['125'];[4];[1];[3];[1];1350000;1100;0;-
ÁGIO 3 quartos Ceilandia Norte;-;['68'];[3];[1];[2];[1];100000;300;443;-
1 quarto, pode fazer até 2, veja as boa condi pelo programa casa verde e amarela;-;['58'];[2];[0];[1];[1];177000;200;100;-
Apartamento Top 2 Quartos com Móveis Planejados, Garagem Coberta e Lazer Completissimo!;-;['83'];[2];[1];[2];[1];318000;520;500;-
Apartamento para venda possui 50 metros quadrados com 1 quarto;-;['53'];[1];[0];[1];[1];100000;0;0;-
Asa Norte, apartamento 53 m2, 1 quarto, banheiro, elevador.;-;[];[1];[1];[1];[0];390000;0;830;-
Apartamento para venda com 82 metros quadrados com 3 quartos em Sul - Brasília - DF;-;['82'];[3];[1];[3];[1];670000;750;750;-
AGUAS CLARAS AVENIDA PAU BRASL RES. MONET;-;['93'];[3];[1];[2];[2];750000;698;0;-
RUA 13/14 Norte - Apto com 3 suítes, 82m, ótimo local.;-;[];[3];[2];[1];[1];660000;685;-;-
Vendo Imovel com 01 Kit , Apartamento 1 quarto e cobertura riacho fundo II - DF;-;['100'];[3];[];[3];[];100000;0;0;-
Apartamento para venda tem 118 metros quadrados com 3 quartos em Sul - Brasília - DF;-;[];[3];[1];[3];[2];879000;795;1222;-
Apto 4 qtos av. Parque Águas Claras Residencial Plaza das Aguas;-;[];[4];[1];[3];[1];750000;-;1080;-
QN 05C, apartamento 3 quartos 2 banheiros R$ 170.000 prest. R$ 430,00;-;['63'];[3];[1];[1];[1];170000;300;0;-
Sqs 403 Vendido;-;['92'];[2];[];[2];[];600000;760;900;-
Alto padrao: apt de 1 qt na Asa Norte;-;['54'];[1];[1];[2];[1];769000;700;1260;-
Residencial Figueiras – Quadra 101. Apartamento 1 quarto 35;-;[];[1];[0];[1];[1];350000;-;-;-
1 QUARTO COM VARANDA LAZER PREMIUM REAL ESPLENDOR;-;['43'];[1];[1];[1];[1];430000;430;51;-
Excelente Apto 3 Qtos no Smart Club Residence Setor Industrial - Brasília - DF;-;['72'];[3];[1];[2];[1];390000;420;700;-
Apartamento para venda com 60 metros quadrados com 2 quartos em Taguatinga Norte - Brasília - DF;-;['72'];[2];[1];[2];[0];272900;0;0;-
ASA SUL · 3 QUARTOS · SQS 113 · PRÉDIO ICÓNICO;-;['136'];[3];[1];[3];[1];1340000;1230;2300;-
ACEITA FINANCIAMENTO;-;[];[2];[0];[1];[1];220000;0;0;-
Apartamento 02 quartos com garagem;-;['55'];[2];[];[1];[1];92000;207;0;-
Apartamento para venda tem 100 metros quadrados com 3 quartos;-;['100'];[3];[0];[1];[1];300000;-;-;-
Apartamento Lindo 2 Quartos Com Armários na Melhor Quadra de Samambaia;-;['90'];[2];[0];[1];[1];235000;350;350;-
Apartamento de 3 quartos de 61m² no Riacho Fundo II - Todo Planejado;-;[];[3];[1];[2];[1];215000;0;0;-
CSA 3, 3qts, andar alto,vista livre e com garagem.;-;['62'];[3];[0];[1];[1];329900;538;980;-
Apartamento para Venda em Brasília, Sul (Águas Claras), 1 dormitório, 1 banheiro, 1 vaga;-;['36'];[1];[0];[1];[1];242000;390;700;-
Apartamento para venda tem 150 metros quadrados com 3 quartos;-;['150'];[3];[1];[1];[1];135000;0;0;-
Apartamento para venda com 103 metros quadrados com 3 quartos em Norte - Brasília - DF;-;['103'];[3];[1];[3];[1];1050000;850;1080;-
Contemplar, Vendido;-;['100'];[2];[1];[2];[2];645000;465;512;-
Vista Externa + Localização Top| Clnw 10/11, Acontece Center - Noroeste;-;['32'];[1];[0];[1];[1];412500;0;0;-
Apartamento para Venda em Brasília, Asa Sul, 4 dormitórios, 1 suíte, 2 banheiros, 1 vaga;-;['86'];[4];[1];[2];[1];1050000;865;246;-
3 QUARTOS - Taguatinga Sul;-;['72'];[3];[1];[2];[1];265000;503;-;-
APT 35 m², nascente, suite, armários, lazer completo, Res. Costa Verde, Aguas Claras.;-;['35'];[1];[1];[1];[1];230000;430;-;-
Apartamento para Venda em Brasília, Taguatinga Norte (Taguatinga), 2 dormitórios, 1 suíte, 1 banheir;-;['50'];[2];[1];[1];[1];259000;320;520;-
04 suítes - 03 vagas - 210 m² - Sala ampla e suíte espaçosa - Noroeste - Brasília - DF;-;[];[4];[4];[6];[3];3144891;-;-;-
Residencial novo tempo Qr 412 Samambaia AP 2 Qrts 65m 210 mil;-;['65'];[2];[0];[1];[1];210000;400;-;-
Apartamento 3 quartos, Aceita Financiamento e FGTS – Área de Lazer;-;['98'];[3];[1];[1];[1];395000;430;0;-
Apartamento com 02 quartos no Ed. Pouso Alto em Taguatinga Sul - Brasília - DF;-;[];[2];[];[1];[1];240000;380;0;-
APARTAMENTO QE 2 BLOCO I;-;['82'];[4];[1];[2];[2];599500;-;-;-
Apartamento Águas Claras Rua 36 Sul- Com 3 quartos em Sul - Brasília - DF;-;['100'];[3];[1];[3];[2];900000;0;0;-
BRASÍLIA - Apartamento Padrão - ASA NORTE;-;['28'];[1];[1];[1];[1];325000;620;-;-
Apartamento resindencial Elegance;-;['50'];[2];[0];[1];[1];220000;400;451;-
QN 120 otimo local - 3 quartos, 1 vaga ao lado do metrô!;-;[];[3];[];[1];[1];269900;430;500;-
Águas Claras, Res. Lucena Roriz, 2 qts + DCE;-;['78'];[2];[1];[3];[1];540000;600;1500;-
Apartamento Ed. Diamond Residence, 03 quartos (1 suite), 106,88m2;-;[];[3];[1];[1];[1];560000;923;228;-
Ótimo Apartamento - Reformado - CSB 02 - Taguatinga Sul - DF;-;[];[2];[];[2];[1];310000;0;0;-
Apartamento de 40 m² com 1 quarto, 3º andar, ventilação natural - Vicente pires;-;['40'];[1];[0];[1];[0];125000;100;0;-
Apartamento para venda tem 26 metros quadrados com 1 quarto em Sul - Brasília - DF;-;['56'];[1];[1];[1];[1];273000;350;572;-
Apartamento para Venda em Brasília, Samambaia Sul (Samambaia), 2 dormitórios, 1 banheiro, 1 vaga;-;['46'];[2];[0];[1];[1];205000;490;520;-
Apartamento Financiado pela Caixa.;-;['47'];[2];[];[1];[1];148000;0;0;-
Ap 33m2 pode fazer até 2 quartos,financiamento c facilidades;-;['55'];[2];[0];[1];[1];180000;200;100;-
02 Quartos, sala integrada com varanda em excelente quadra na parte alta do Noroeste - Brasília - DF;-;[];[2];[1];[3];[2];1192341;-;-;-
Apartamento para venda possui 41 metros quadrados com 2 quartos em Taguatinga Norte - Brasília - DF;-;['60'];[2];[0];[1];[1];170000;280;0;-
Apartamento 4 quartos no Riviera Del Fiore - Águas Claras.;-;[];[4];[3];[4];[3];1550000;0;0;-
Casa no Setor O.;-;[];[3];[1];[2];[2];850000;0;0;-
Apartamento à venda 3 quartos,1 suíte, 70m², vista livre, andar alto, Rua 35 Sul Águas Claras-DF;-;[];[3];[1];[2];[1];560000;565;-;-
Apartamento para venda com 68 metros quadrados com 3 quartos em Ceilândia Sul - Brasília - DF;-;[];[3];[1];[2];[1];389000;-;-;-
APTO 3 QUARTOS - PORTEIRA FECHADA;-;['98'];[3];[1];[1];[1];380000;519;700;-
Ágio de apartamento em Taguatinga Norte - Brasília - DF;-;['100'];[2];[];[1];[];74900;-;0;-
Apartamento 2 quartos Asa Norte SQN 116 Bloco H;-;['85'];[2];[];[2];[];740000;460;900;-
(Resid Solar do Cerrado)Apto 2 qts, suite e lazer completo (Itbi, escritura e registro Gratis);-;['66'];[2];[1];[1];[1];229900;350;400;-
Apartamento para Venda em Brasília, Setor Meireles (Santa Maria), 3 dormitórios, 1 suíte, 1 banheiro;-;['80'];[3];[1];[1];[1];205000;-;0;-
Apartamento de 2 Quartos em Taguatinga com Suíte - Reformado e Planejado;-;[];[2];[1];[2];[1];360000;0;0;-
Venda ou locação Apartamento 3 quartos Asa Sul Brasília;-;['167'];[3];[1];[3];[1];8000;1500;645;-
Quadra 105, Aguas Claras! 2 quatos, 1 suíte, andar alto, 2 vagas, 84m2;-;['84'];[3];[1];[3];[2];640000;600;800;-
Apartamento 3 Quartos Asa Sul !!! 750.000 !!!;-;['118'];[3];[1];[2];[];750000;1050;1431;-
Apartamento VAZADO, com 120 m2, 3 quartos, 3 garagem - Brasília - DF;-;['220'];[3];[1];[3];[3];850000;780;1600;-
Apartamento de 3 quartos com suíte;-;[];[3];[1];[2];[1];840000;0;0;-
APARTAMENTO RESIDENCIAL em BRASÍLIA - DF, SETOR NOROESTE;-;['105'];[3];[1];[3];[2];1550000;-;-;-
Apartamento 2 quartos com suíte e varanda próximo ao metrô – Ceilândia;-;['98'];[2];[1];[1];[1];309900;421;0;-
Apartamento a venda no Gama (Residencial Flex Gama);-;[];[2];[1];[1];[1];370000;0;0;-
Apartamento para venda possui 159 metros quadrados com 3 quartos em Asa Sul - Brasília - DF;-;[];[3];[1];[3];[1];1700000;1532;2600;-
Apartamento para venda com 127 metros quadrados com 3 quartos em Norte - Brasília - DF;-;[];[3];[1];[3];[1];710000;680;1500;-
Apartamento para Venda em Brasília, Taguatinga Norte (Taguatinga), 2 dormitórios, 1 banheiro, 1 vaga;-;['48'];[2];[0];[1];[1];260000;317;520;-
Gente até 47 mil de subsídio, e tenha 100% financiado;-;['57'];[1];[0];[1];[1];174900;200;100;-
Oportunidade - Blend Apartaments com 1 quarto e armários planejados;-;['32'];[1];[1];[1];[1];325000;450;1000;-
Apto 2Qtos no Residencial Gamaggiore no Setor Industrial - Brasília - DF;-;['66'];[2];[1];[1];[1];300000;300;700;-
EXCELENTE APARTAMENTO COM SUÍTE;-;[];[2];[1];[2];[1];270000;-;0;-
Apartamento para venda tem 103 metros quadrados com 3 quartos em Sul - Brasília - DF;-;[];[3];[1];[2];[2];931533;570;0;-
DUPLEX 1 Suíte + Escritório ou Closet PARK STYLE;-;['70'];[2];[1];[2];[1];650000;650;-;-
Apartamento 2 quartos no Mirante Duo, Aguas Claras!;-;['121'];[2];[1];[2];[2];575000;460;926;-
SALA COMERCIAL E OU KITNET, ÓTIMO PREÇO.;-;['31'];[1];[0];[1];[0];125000;209;0;-
BRASÍLIA - Apartamento Padrão - ASA NORTE;-;['127'];[3];[1];[3];[1];1300000;1213;2074;-
Excelente apartamento em rua 06 Vicente Pires;-;[];[1];[0];[1];[];120000;100;0;-
Apartamento para venda possui 56 metros quadrados com 2 quartos;-;['56'];[2];[1];[1];[1];680000;1;1;-
Apartamento 2 quartos com suíte e varanda próximo ao metrô - Ceilândia;-;['114'];[2];[1];[2];[1];309900;421;500;-
Apartamento 2 Quartos SQS 408 !!! 530.000 !!!;-;['56'];[2];[0];[1];[0];530000;480;0;-
Apartamento para venda com 87 metros quadrados com 3 quartos em Samambaia Sul - Brasília - DF;-;[];[3];[1];[2];[1];474900;481;500;-
Apartamento 2 quartos 716 Norte Asa Norte Brasília;-;['56'];[2];[];[1];[];599000;623;1000;-
Apartamento para venda com 97 metros quadrados com 3 quartos em Sul - Brasília - DF;-;['109'];[3];[1];[3];[1];610000;1300;1111111;-
Programa casa verde e amarela, muitas facilidades;-;['54'];[2];[0];[1];[1];176800;200;100;-
Prédio com 03 apartamentos com 2 quartos;-;[];[2];[1];[2];[1];450000;-;-;-
SOLO IMOB vende apartamento na SQS 411;-;['58'];[2];[];[2];[0];415000;-;-;-
SUDOESTE, QUADRA 105, EXCELENTE LOCALIZAÇÃO;-;['98'];[3];[1];[2];[1];1360000;0;0;-
Apartamento lindo 2 Quartos com Garagem Com Móveis! Melhor Localização;-;['96'];[2];[];[1];[1];235000;302;280;-
Apartamento 2 quartos com elevador;-;[];[2];[0];[1];[0];135000;230;0;-
1 ou 2 quartos, muitas vantagens e facilidades, veja detalhes;-;['56'];[1];[0];[1];[1];175800;200;100;-
Apartamento para Venda em Brasília, Taguatinga Norte (Taguatinga), 2 dormitórios, 1 suíte, 1 banheir;-;['72'];[2];[1];[1];[1];280000;-;0;-
Venda Amplo Apartamento 3 Qtos C/ Vista Livre, Garagem - Asa Norte - DF;-;[];[3];[1];[2];[1];1500000;874;2000;-
ALIANÇA IMOVEIS VENDE EXELENTE APARTAMENTO EM AGUAS CLARAS;-;['50'];[2];[];[1];[1];410000;0;0;-
Excelente apartamento em Residencial Esplanada em Taguatinga Norte;-;[];[2];[0];[1];[1];250000;0;0;-
Apartamento 2Q 7 andar residencial Sublime;-;['60'];[2];[1];[2];[1];249000;0;0;-
QI 23 todo novinho, 3 quartos 1 suite, ao lado do metrô!!!;-;['80'];[3];[1];[2];[1];459000;474;0;-
Apartamento de 03 quartos - Núcleo Bandeirante;-;['80'];[3];[];[1];[0];290000;0;0;-
Apartamento para venda tem 56 metros quadrados com 3 quartos;-;['62'];[3];[1];[2];[1];190000;310;250;-
Apartamento para venda tem 62 metros quadrados com 3 quartos em Taguatinga Norte - Brasília - DF;-;[];[3];[1];[1];[1];340000;0;0;-
Apartamento Duplex com 3 dormitórios à venda, 150 m² por R$ 250.000,00 - Paranoá - Paranoá/DF;-;['150'];[3];[1];[1];[0];250000;0;0;-
EQNP 01/05 Aptº Duplex Ceilândia Norte - Brasília - DF;-;['53'];[2];[];[1];[2];140000;0;0;-
Vendo apartamento Quadra 17, com 02 quartos, garagem e elevador. Ed. Serra Verde;-;['111'];[3];[1];[2];[1];320000;-;-;-
Apartamento para venda tem 73 metros quadrados com 2 quartos em Setor Noroeste - Brasília - DF;-;['73'];[2];[1];[3];[2];1200000;650;950;-
Cobertura duplex para venda com 336 metros quadrados com 4 quartos em Setor Noroeste - Brasília - DF;-;['336'];[4];[4];[7];[4];3990000;850;1;-
Maravilhoso 03 quartos suite 72 m² Nascente Vista livre Residencial Le Ville;-;['120'];[3];[1];[2];[1];570000;580;900;-
Apartamento - 02 Quartos em Riacho Fundo I - Brasília - DF;-;[];[2];[1];[2];[1];190000;-;-;-
Apartamento Riacho Fundo II;-;['50'];[2];[0];[1];[1];220000;0;0;-
Agio Total Ville Setor Meireles - Brasília - DF Parcelas 570;-;[];[2];[];[1];[1];55999;1;2;-
Apartamento no residencial Gamaggiore;-;['57'];[2];[1];[2];[1];335000;-;-;-
Lindo apartamento em Residencial Guará Village Guará II;-;[];[2];[0];[1];[1];399000;0;0;-
Apartamento pelo programa casa verde e amarela, veja como conseguir;-;['55'];[2];[0];[1];[1];177000;200;100;-
Vendo apartamento Contemplar 2 qtos sendo 1 suíte 2 vagas de garagem;-;[];[2];[1];[2];[2];590000;400;0;-
Sala / Consultório / Clinica para venda tem 60m² - 915 Sul - Office Center Asa Sul - Brasília - DF;-;[];[1];[];[1];[1];350000;733;3108;-
APTO 3 QTOS, SHIGS 714;-;['125'];[3];[1];[3];[0];990000;650;0;-
Apartamento para venda em Ceilândia Centro - Brasília - DF;-;['68'];[3];[1];[1];[1];295000;0;0;-
Apartamento para venda tem 73 metros quadrados com 3 quartos em Samambaia Sul - Brasília - DF;-;[];[3];[1];[2];[2];549555;0;0;-
Apartamento para venda com 70 metros quadrados com 2 quartos e garagem;-;['70'];[2];[0];[1];[1];179000;-;-;-
SQS 410 - EXCELENTE APARTAMENTO REFORMADO;-;['67'];[2];[0];[1];[0];560000;380;0;-
